country,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccine 1,vaccine 2,vaccine 3,population,gdp,land,cpi,lit_rate,political_stability
Germany,12363439,8595379,14.76,10.26,4.5,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,83190556,3.86E+12,349380,80,,0.5828653
Ghana,420000,420000,1.35,1.35,0,Oxford/AstraZeneca,,,30955202,66983634224,227540,43,79.03964233,0.098347
Gibraltar,57646,30944,171.1,91.85,79.26,Pfizer/BioNTech,,,34003,,10,,,
Greece,1604238,1055744,15.39,10.13,5.26,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,10718565,2.1E+11,128900,50,97.93595123,0.2909985
Greenland,5130,3927,9.04,6.92,2.12,Pfizer/BioNTech,,,56421,3051626390,410450,,,1.896815
Grenada,8606,8606,7.65,7.65,0,Oxford/AstraZeneca,,,113000,1210603704,340,53,98.59999847,0.959709
Guatemala,91918,91918,0.51,0.51,0,Moderna,,,17109746,76710355347,107160,25,81.2858963,-0.5461909
Guernsey,29383,21500,43.82,32.06,11.76,Pfizer/BioNTech,,,63155,,,,,
Guinea,25263,0,0.19,0,0,Sputnik V,,,12907395,12296665331,245720,28,32.0038414,-0.8306405
Guyana,15524,15524,1.97,1.97,0,Oxford/AstraZeneca,,,743699,5173759528,196850,41,85.63973236,-0.2370798
Honduras,43073,43073,0.43,0.43,0,Oxford/AstraZeneca,Moderna,,9450711,25095395475,111890,24,87.20523834,-0.5306973
Hong Kong,449200,437200,5.99,5.83,0.16,Sinovac,Pfizer/BioNTech,,7474200,3.66E+11,1050,77,,-0.2677673
Hungary,2589469,1903498,26.81,19.7,7.1,Sinopharm/Beijing,Oxford/AstraZeneca,Moderna,9731000,1.63E+11,91260,44,99.09999847,0.7325271
Iceland,60366,39633,17.69,11.61,6.08,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,368590,24188038474,100830,75,,1.655899
India,60269782,51441436,4.37,3.73,0.64,Oxford/AstraZeneca,Covaxin,,1375151025,2.87E+12,2973190,40,74.37299347,-0.7027684
Indonesia,10425690,7190663,3.81,2.63,1.18,Sinovac,,,270203917,1.12E+12,1877519,37,95.65856171,-0.4812067
Iran,124193,10000,0.15,0.01,0,Sputnik V,,,84321400,4.54E+11,1628760,25,85.54425049,-1.698151
Ireland,732678,529984,14.84,10.73,4.1,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,4977400,3.89E+11,68890,72,,0.9733633
Isle of Man,33336,21996,39.2,25.87,13.34,Oxford/AstraZeneca,Pfizer/BioNTech,,83314,7491969313,570,,,
Israel,9927583,5219394,114.7,60.3,54.4,Moderna,Pfizer/BioNTech,,9331260,3.95E+11,21640,60,,-0.7785231
Italy,9210893,6290823,15.23,10.4,4.83,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,59257566,2E+12,297730,53,99.15576172,0.4626993
Jamaica,16096,16096,0.54,0.54,0,Oxford/AstraZeneca,,,2734093,16458071068,10830,44,88.09999847,0.4143164
Japan,822869,781665,0.65,0.62,0.03,Pfizer/BioNTech,,,125480000,5.08E+12,364500,74,,1.041225
Jersey,52265,43136,51.71,42.68,9.03,Oxford/AstraZeneca,Pfizer/BioNTech,,107800,,,,,1.29669
Jordan,320140,251197,3.14,2.46,0.68,Sinopharm/Beijing,Pfizer/BioNTech,,10912208,44502895862,88780,49,98.22711182,-0.3578623
Kazakhstan,109995,90748,0.59,0.48,0.1,Sputnik V,,,18898080,1.82E+11,2699700,38,99.78163147,-0.0834486
Kenya,64100,64100,0.12,0.12,0,Oxford/AstraZeneca,,,47564296,95503088538,569140,31,81.53497314,-1.123664
Kuwait,360000,500000,8.43,11.71,0.89,Pfizer/BioNTech,,,4464521,1.35E+11,17820,42,96.05647278,0.2003809
Laos,40732,40732,0.56,0.56,0,Sinopharm/Beijing,Sputnik V,,7337783,18173839147,230800,29,84.66104126,0.5250729
Latvia,126292,104379,6.7,5.53,1.16,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,1891300,34102913582,62090,57,99.88931274,0.4488481
Lebanon,181127,111517,2.65,1.63,1.02,Pfizer/BioNTech,,,6769000,51991634492,10230,25,95.06944275,-1.63874
Liechtenstein,4992,0,13.09,0,0,Moderna,Pfizer/BioNTech,,39062,6876981286,160,,,1.627746
Lithuania,474961,324250,17.45,11.91,5.54,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,2790044,54627411860,62630,60,99.81559753,0.842194
Luxembourg,82653,62812,13.2,10.03,3.17,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,626108,71104919108,2430,80,,1.362118
Macao,44908,44908,6.92,6.92,0,Sinopharm/Beijing,Pfizer/BioNTech,,,53859116536,32.9,,96.5384903,1.250643
Malawi,90107,90107,0.47,0.47,0,Oxford/AstraZeneca,,,18898441,7666704427,94280,30,62.14353943,-0.2672529
Malaysia,536681,443124,1.66,1.37,0,Sinovac,Pfizer/BioNTech,,32758310,3.65E+11,328550,51,94.85440826,0.1102767
Maldives,227696,0,42.12,0,0,Oxford/AstraZeneca,,,383135,5642179170,300,43,97.7349472,0.013525
Malta,171873,121823,38.93,27.59,11.34,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,514564,14989415684,320,53,94.50318909,1.090187
Mauritius,3843,3843,0.3,0.3,0,Oxford/AstraZeneca,,,1266030,14048430519,2030,53,91.32539368,0.8220398
Mexico,6724789,5901505,5.22,4.58,0.64,Oxford/AstraZeneca,Pfizer/BioNTech,Sputnik V,126014024,1.27E+12,1943950,31,95.37991333,-0.714571
Moldova,33885,33885,0.84,0.84,0,Oxford/AstraZeneca,,,2640438,11968713370,32885.3,34,99.3598938,-0.3827971
Monaco,18081,9750,46.07,24.84,21.23,Pfizer/BioNTech,,,38100,7188238073,2.027,,,1.591874
Mongolia,276068,0,8.42,0,0,Oxford/AstraZeneca,,,3370086,13996719329,1557255,35,98.42311859,0.6434917
Montenegro,16451,14850,2.62,2.36,0.25,Sinopharm/Beijing,Sputnik V,,621873,5542577965,13450,45,98.84718323,0.0106019
Montserrat,932,892,18.64,17.84,0.8,Oxford/AstraZeneca,,,5000,,,,,
Morocco,7634475,4302183,20.68,11.66,9.03,Sinopharm/Beijing,Oxford/AstraZeneca,,36206744,1.2E+11,446300,40,73.75000763,-0.3693984
Mozambique,46439,46439,0.15,0.15,0,Sinopharm/Beijing,,,30832244,15291448212,786380,25,60.65542984,-0.7454386
Myanmar,380000,380000,0.7,0.7,0,Oxford/AstraZeneca,,,55294979,76085852617,652790,28,75.55120087,-1.261767
Namibia,152,152,0.01,0.01,0,Sinopharm/Beijing,,,2550226,12366528259,823290,51,91.52726746,0.5339198
Nepal,1600000,0,5.49,0,0,Oxford/AstraZeneca,,,30378055,30641380604,143350,33,67.90843201,-0.4656303
Netherlands,2097980,1492489,12.24,8.71,3.53,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,17578081,9.07E+11,33670,82,,0.8572519
New Zealand,41500,41500,0.86,0.86,0,Pfizer/BioNTech,,,5122963,2.07E+11,263310,88,,1.507665
Nigeria,277458,277458,0.13,0.13,0,Oxford/AstraZeneca,,,211401000,4.48E+11,910770,25,62.01601028,-1.934674
North Macedonia,5300,5300,0.25,0.25,0,Pfizer/BioNTech,,,2076255,12547040499,25220,35,97.80000305,-0.0492005
Northern Cyprus,97969,53886,25.63,14.1,11.53,Oxford/AstraZeneca,Sinovac,Pfizer/BioNTech,372486,,,,,
Northern Ireland,839609,719260,44.34,37.98,6.36,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,
Norway,865800,595899,15.97,10.99,4.98,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,5391369,4.03E+11,365107.85,84,,1.186128
Oman,129198,110179,2.53,2.16,0.37,Oxford/AstraZeneca,Pfizer/BioNTech,,4496419,76331518669,309500,54,95.6515274,0.5934848
Pakistan,350000,72882,0.16,0.03,0,Sinopharm/Beijing,Oxford/AstraZeneca,Sputnik V,225200000,2.78E+11,770880,31,59.13204956,-2.246336
Panama,352876,0,8.18,0,0,Pfizer/BioNTech,,,4278500,66800800000,74177,35,95.41181183,0.3068049
Paraguay,28830,27212,0.4,0.38,0,Sputnik V,,,7353038,38145288940,397300,28,94.02079773,-0.0019132
Peru,790790,534713,2.4,1.62,0.78,Sinopharm/Beijing,,,33035304,2.27E+11,1280000,38,94.40827179,-0.1417345
Philippines,508332,508332,0.46,0.46,0,Oxford/AstraZeneca,Sinovac,,110027477,3.77E+11,298170,34,98.18254852,-0.8849657
Poland,5755551,3785646,15.21,10,5.2,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,38244000,5.96E+11,306170,56,98.74273682,0.5215149
Portugal,1536184,1068361,15.07,10.48,4.59,Moderna,Pfizer/BioNTech,,10295909,2.39E+11,91605.6,61,96.1375885,1.128248
Qatar,721236,100000,25.03,3.47,0,Pfizer/BioNTech,,,2717360,1.76E+11,11490,63,93.46396637,0.7046954
